month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,road_condition,lighting_condition,weather_group,Actual_Severity,Predicted_Severity,Risk_Score
March,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,2.032258064516129
April,Saturday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,100.0
January,Sunday,Maharashtra,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
April,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,11.03921568627451
October,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,2.0
July,Friday,Unknown,Truck,Unidentified,3,31-50,Under 18,Wet,Daylight,Rainy,Minor,Minor,15.0
October,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,2.7395707225237773
March,Tuesday,Unknown,Truck,Unidentified,1,Unknown,18-30,Wet,Dark,Clear,Minor,Minor,11.0
April,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Clear,Severe,Minor,1.0
October,Tuesday,Maharashtra,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
October,Friday,Unknown,Truck,Unidentified,2,31-50,Over 51,Dry,Daylight,Clear,Minor,Minor,3.0
August,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Minor,46.0
March,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
October,Friday,Unknown,Truck,Unidentified,4,Unknown,18-30,Dry,Dark,Clear,Minor,Minor,11.0
October,Monday,Unknown,Truck,Unidentified,1,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,20.166666666666664
May,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Severe,Minor,14.214785214785215
August,Saturday,Assam,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
September,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Minor,Minor,12.0
November,Sunday,Nagaland,Truck,Unidentified,5,18-30,Unknown,Damaged/Construction,Dark,Rainy,Minor,Severe,66.0
April,Saturday,Unknown,Truck,Unidentified,2,Unknown,Over 51,Dry,Daylight,Clear,Minor,Minor,0.0
March,Wednesday,Gujarat,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
April,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,2.0
August,Thursday,Tamil Nadu,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
June,Sunday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
July,Friday,Uttar Pradesh,Auto Rickshaw,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,98.0
July,Sunday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
September,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Wet,Daylight,Rainy,Minor,Minor,3.0476190476190474
January,Monday,Maharashtra,Car,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
May,Friday,Uttar Pradesh,Suv,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,95.0
March,Tuesday,Chhattisgarh,Truck,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
October,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0909090909090908
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.032258064516129
August,Sunday,Madhya Pradesh,Pedestrian,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,100.0
February,Monday,Kerala,Truck,Unidentified,1,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,71.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
April,Saturday,Unknown,Truck,Unidentified,2,Under 18,Under 18,Dry,Daylight,Clear,Minor,Minor,35.0
May,Tuesday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,4.0
January,Sunday,Rajasthan,Car,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,100.0
September,Saturday,Unknown,Truck,Unidentified,2,Under 18,Under 18,Wet,Dark,Rainy,Minor,Minor,16.0
April,Monday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0476190476190477
March,Wednesday,Unknown,Truck,Unidentified,3,Over 51,Over 51,Dry,Daylight,Clear,Minor,Minor,15.221343873517787
October,Monday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,17.0
March,Friday,Unknown,Truck,Unidentified,2,Over 51,Under 18,Dry,Daylight,Clear,Minor,Minor,35.68617052802162
March,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,3.0
May,Tuesday,Unknown,Truck,Unidentified,2,Unknown,Under 18,Dry,Daylight,Clear,Minor,Minor,1.0
March,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Over 51,Dry,Daylight,Clear,Minor,Minor,2.4437229437229435
April,Sunday,Unknown,Truck,Unidentified,3,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,20.543290043290042
April,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,28.311059904274334
December,Monday,Uttar Pradesh,Truck,Car,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,89.0
April,Sunday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,3.2727272727272725
May,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,0.0
May,Monday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,21.0
May,Sunday,Andhra Pradesh,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,98.0
April,Wednesday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Wet,Dark,Clear,Minor,Minor,12.0
August,Sunday,Andhra Pradesh,Two Wheeler,Truck,2,Unknown,Over 51,Dry,Dark,Clear,Severe,Severe,100.0
May,Wednesday,Telangana,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,87.0
October,Wednesday,Maharashtra,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,88.0
August,Tuesday,Haryana,Suv,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
March,Thursday,Unknown,Truck,Unidentified,2,Unknown,Over 51,Dry,Dark,Clear,Severe,Minor,8.0
February,Tuesday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,99.0
July,Sunday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
January,Sunday,Puducherry,Truck,Unidentified,2,31-50,Unknown,Damaged/Construction,Daylight,Fog/Mist,Minor,Severe,67.0
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,1.0476190476190477
October,Friday,Unknown,Truck,Unidentified,1,18-30,Over 51,Dry,Dark,Clear,Severe,Minor,31.0
March,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Dark,Clear,Minor,Minor,16.047619047619047
August,Wednesday,West Bengal,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
October,Thursday,Tripura,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Daylight,Fog/Mist,Minor,Severe,85.0
May,Friday,Tamil Nadu,Two Wheeler,Truck,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,100.0
April,Saturday,Unknown,Truck,Unidentified,2,Unknown,18-30,Wet,Dark,Clear,Minor,Minor,8.669186353618331
May,Sunday,Unknown,Truck,Unidentified,3,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,27.0
October,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Clear,Minor,Minor,5.376623376623376
August,Friday,Uttar Pradesh,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,97.0
March,Friday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,6.0
May,Sunday,Andhra Pradesh,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
May,Wednesday,Karnataka,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
October,Monday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Severe,Minor,17.0
March,Sunday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Dark,Clear,Minor,Minor,15.0
March,Friday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,2.230769230769231
September,Thursday,West Bengal,Truck,Unidentified,5,18-30,Unknown,Damaged/Construction,Daylight,Fog/Mist,Severe,Severe,81.0
December,Monday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,89.0
April,Sunday,Unknown,Truck,Unidentified,1,Under 18,Under 18,Wet,Daylight,Clear,Severe,Minor,45.25757575757576
March,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Clear,Minor,Minor,15.0
July,Thursday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Minor,28.000000000000004
April,Sunday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Daylight,Clear,Minor,Minor,21.0
May,Wednesday,Tamil Nadu,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
October,Thursday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,6.0
March,Tuesday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,44.0
March,Sunday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,21.0
October,Monday,Unknown,Truck,Unidentified,1,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,19.0
May,Sunday,Maharashtra,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
October,Friday,Gujarat,Two Wheeler,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,100.0
March,Tuesday,Unknown,Truck,Unidentified,4,31-50,Unknown,Wet,Daylight,Clear,Severe,Severe,55.00000000000001
August,Wednesday,Unknown,Truck,Unidentified,3,Under 18,Unknown,Wet,Daylight,Rainy,Minor,Minor,21.090909090909093
March,Saturday,Unknown,Truck,Unidentified,2,Under 18,Under 18,Dry,Daylight,Clear,Minor,Minor,28.999999999999996
April,Saturday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
April,Saturday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,9.0
May,Saturday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,0.5430805753386398
September,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Rainy,Minor,Minor,1.0
March,Wednesday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,1.951629800548413
March,Friday,Unknown,Truck,Unidentified,4,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,3.0
July,Wednesday,Tamil Nadu,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
September,Wednesday,Tripura,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Daylight,Rainy,Minor,Severe,88.0
April,Thursday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,11.0
September,Monday,Unknown,Truck,Unidentified,2,Unknown,Under 18,Wet,Dark,Rainy,Minor,Minor,13.0
March,Thursday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
November,Saturday,Tamil Nadu,Truck,Unidentified,2,Over 51,Unknown,Wet,Dark,Fog/Mist,Severe,Severe,68.0
June,Saturday,Bihar,Truck,Unidentified,5,31-50,Unknown,Wet,Daylight,Fog/Mist,Minor,Severe,73.0
September,Monday,Karnataka,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
March,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Dark,Clear,Minor,Minor,13.0
October,Saturday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Daylight,Clear,Severe,Minor,2.3974358974358974
April,Tuesday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Dry,Dark,Clear,Severe,Minor,30.0952380952381
April,Monday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,5.0
June,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Rainy,Minor,Minor,1.0
May,Friday,Unknown,Truck,Unidentified,2,Under 18,18-30,Dry,Dark,Clear,Minor,Minor,37.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,4.0476190476190474
May,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,17.65347018572825
March,Thursday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,2.1577380952380953
June,Monday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Severe,64.0909090909091
March,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.09523809523809523
November,Sunday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Daylight,Cold,Minor,Minor,9.166666666666668
May,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,15.443722943722943
March,Friday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Dry,Dark,Clear,Severe,Minor,4.0
May,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,6.0
July,Saturday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
March,Tuesday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,33.04761904761905
September,Thursday,Karnataka,Truck,Unidentified,5,Over 51,Unknown,Dry,Dark,Fog/Mist,Minor,Severe,62.0
March,Thursday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Dry,Dark,Clear,Minor,Minor,18.0
May,Tuesday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,29.176989676989677
May,Monday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Minor,3.0
March,Monday,Telangana,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,7.51850878163653
March,Sunday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Wet,Dark,Clear,Minor,Minor,26.348484848484848
June,Monday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Severe,93.0
April,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,12.019271051529115
August,Saturday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Wet,Dark,Rainy,Minor,Minor,10.0
June,Tuesday,Odisha,Truck,Unidentified,1,18-30,Unknown,Wet,Daylight,Rainy,Severe,Severe,68.0
May,Monday,Uttar Pradesh,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
March,Wednesday,Unknown,Truck,Unidentified,3,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,5.0
December,Wednesday,Rajasthan,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Severe,75.0
December,Monday,Tamil Nadu,Van,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
March,Saturday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Dark,Clear,Severe,Minor,27.0
April,Wednesday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Daylight,Clear,Severe,Minor,30.970261622435537
March,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Severe,Minor,0.0
May,Wednesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,23.337978612084502
November,Monday,Rajasthan,Truck,Unidentified,4,Over 51,Unknown,Damaged/Construction,Dark,Fog/Mist,Minor,Severe,71.0
March,Friday,Unknown,Truck,Unidentified,3,31-50,18-30,Dry,Dark,Clear,Severe,Minor,17.181818181818183
April,Thursday,Unknown,Truck,Unidentified,3,18-30,Over 51,Wet,Daylight,Clear,Minor,Minor,31.0
June,Friday,Rajasthan,Jugaad Vehicle,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
October,Tuesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,36.37229437229438
April,Tuesday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
March,Sunday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Daylight,Clear,Minor,Minor,22.527886747398945
October,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,12.569828722002638
May,Tuesday,Unknown,Truck,Unidentified,2,Unknown,Under 18,Dry,Daylight,Clear,Minor,Minor,4.0
March,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,10.512732650537112
March,Friday,Punjab,Car,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,100.0
April,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,11.410984848484848
October,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,2.302179501104232
December,Saturday,Andhra Pradesh,Truck,Bus,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,92.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Dark,Clear,Severe,Minor,42.0
May,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Dark,Clear,Minor,Minor,7.0849802371541495
May,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,6.0
July,Tuesday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Dark,Rainy,Minor,Minor,21.0
May,Wednesday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,34.52097093176951
June,Monday,Unknown,Truck,Unidentified,3,Unknown,18-30,Wet,Dark,Rainy,Minor,Minor,23.0
May,Tuesday,Chandigarh,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Daylight,Clear,Severe,Severe,71.0
March,Sunday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
August,Thursday,Assam,Car,Truck,2,Unknown,Over 51,Dry,Daylight,Clear,Severe,Severe,100.0
January,Saturday,Andhra Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
March,Saturday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Dark,Clear,Minor,Minor,10.0
June,Monday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Daylight,Rainy,Minor,Minor,3.0
March,Monday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Dark,Clear,Minor,Minor,8.0
October,Friday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Dark,Clear,Minor,Minor,21.0
May,Friday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,6.0
April,Friday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Severe,Minor,41.0
May,Thursday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Dark,Clear,Minor,Minor,11.0
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,4.367694805194805
August,Thursday,Uttarakhand,Truck,Unidentified,3,18-30,Unknown,Wet,Twilight,Fog/Mist,Minor,Severe,93.0
May,Tuesday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Severe,Minor,15.401555433813499
April,Tuesday,Unknown,Truck,Unidentified,2,Over 51,Over 51,Wet,Daylight,Clear,Minor,Minor,20.12316715542522
August,Sunday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,100.0
April,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Clear,Minor,Minor,4.281602175754022
July,Sunday,Maharashtra,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,99.0
October,Thursday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Dark,Clear,Minor,Minor,8.0
June,Wednesday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,100.0
March,Monday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,21.090909090909093
January,Sunday,Tamil Nadu,Truck,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
July,Saturday,Gujarat,Truck,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,100.0
July,Friday,Unknown,Truck,Unidentified,2,Over 51,18-30,Wet,Daylight,Rainy,Minor,Minor,3.0
May,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Dark,Clear,Minor,Severe,66.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Dark,Clear,Minor,Minor,12.09090909090909
September,Saturday,Unknown,Truck,Unidentified,1,18-30,Unknown,Wet,Dark,Rainy,Severe,Minor,24.0
August,Wednesday,Bihar,Suv,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
May,Tuesday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,10.219561316316268
September,Wednesday,Haryana,Two Wheeler,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,100.0
January,Wednesday,Andhra Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
April,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Dark,Clear,Minor,Minor,5.0
April,Friday,Unknown,Truck,Unidentified,4,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,7.03225806451613
October,Monday,Punjab,Truck,Unidentified,4,18-30,Unknown,Damaged/Construction,Daylight,Rainy,Minor,Severe,67.0
March,Tuesday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,4.0
October,Tuesday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,6.0
April,Tuesday,Unknown,Truck,Unidentified,1,18-30,Over 51,Dry,Daylight,Clear,Minor,Severe,61.0
March,Monday,Unknown,Truck,Unidentified,2,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,3.090909090909091
July,Monday,Maharashtra,Truck,Unidentified,2,31-50,Unknown,Damaged/Construction,Twilight,Clear,Severe,Severe,70.0
April,Monday,Unknown,Truck,Unidentified,4,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,5.257575757575758
August,Sunday,Maharashtra,Two Wheeler,Truck,2,Unknown,18-30,Dry,Dark,Clear,Severe,Severe,100.0
October,Tuesday,Unknown,Truck,Unidentified,1,31-50,Over 51,Dry,Daylight,Clear,Minor,Minor,15.526806526806524
